,checking_account,duration,credit_history,credit_amount,saving_account,employment,installment_rete,sex,residence,property,age,credit,job,people,telephone,foreign_work,label,purpose_car,purpose_others,purpose_radio/TV,debtors_co-applicant,debtors_guarantors,debtors_none,installment_plans_bank,installment_plans_none,installment_plans_stores,housing_for free,housing_own,housing_rent
21,1,6,2,2647,3,2,2,0,3,0,44,1,2,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
22,1,10,4,2241,1,1,1,0,3,0,48,2,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
23,2,12,4,1804,2,1,3,0,4,1,44,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
24,0,10,4,2069,0,2,2,0,1,2,26,2,2,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
25,1,6,2,1374,1,2,1,0,2,0,36,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
26,0,6,0,426,1,4,4,0,4,2,39,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
27,3,12,1,409,4,2,3,1,3,0,42,2,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
28,2,7,2,2415,1,2,3,0,2,0,34,1,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
29,1,60,3,6836,1,4,3,0,4,4,63,2,2,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
30,2,18,2,1913,4,1,3,0,3,0,36,1,2,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
31,1,24,2,4020,1,2,2,0,2,2,27,1,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
32,2,18,2,5866,2,2,2,0,2,2,30,2,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
33,0,12,4,1264,0,4,4,0,4,4,57,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
34,3,12,2,1474,1,1,4,1,1,1,33,1,3,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
35,2,45,4,4746,1,1,4,0,2,1,25,2,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
36,0,48,4,6110,1,2,1,0,3,4,31,1,2,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
37,3,18,2,2100,1,2,4,0,2,0,37,1,2,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0
38,3,10,2,1225,1,2,2,0,2,2,37,1,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
39,2,9,2,458,1,2,4,0,3,0,24,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
40,0,30,2,2333,3,4,4,0,2,2,30,1,3,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
41,2,12,2,1158,3,2,3,0,1,2,26,1,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
42,2,18,3,6204,1,2,2,0,4,0,44,1,1,2,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
43,1,30,4,6187,2,3,1,0,4,2,24,2,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
44,1,48,4,6143,1,4,4,1,4,4,58,2,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
45,0,11,4,1393,1,1,4,1,4,2,35,2,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
46,0,36,2,2299,3,4,4,0,4,2,39,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
47,1,6,2,1352,3,0,1,1,2,1,23,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
48,0,11,4,7228,1,2,1,0,4,1,39,2,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
49,0,12,2,2073,2,2,4,1,2,0,28,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
50,2,24,3,2333,0,1,4,0,2,1,29,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
51,2,27,3,5965,1,4,1,0,2,2,30,2,3,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
52,0,12,2,1262,1,2,3,0,2,2,25,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
53,0,18,2,3378,0,2,2,0,1,1,31,1,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
54,2,36,3,2225,1,4,4,0,4,4,57,2,2,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0
55,0,6,1,783,0,2,1,0,2,0,26,1,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
56,2,12,2,6468,0,0,2,0,1,4,52,1,3,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
57,0,36,4,9566,1,2,2,1,2,2,31,2,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
58,3,18,2,1961,1,4,3,1,2,2,23,1,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
59,1,36,4,6229,1,1,4,1,4,4,23,2,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
60,2,9,2,1391,1,2,2,0,1,0,27,1,2,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
61,2,15,4,1537,0,4,4,0,4,0,50,2,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
62,2,36,0,1953,1,4,4,0,4,4,61,1,3,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
63,2,48,0,14421,1,2,2,0,2,2,25,1,2,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
64,0,24,2,3181,1,1,4,1,4,1,26,1,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
65,0,27,2,5190,0,4,4,0,4,1,48,4,2,2,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
66,0,12,2,2171,1,1,2,1,2,2,29,1,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
67,2,12,2,1007,4,2,4,0,1,0,22,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
68,0,36,2,1819,1,2,4,0,4,4,37,1,2,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0
69,0,36,2,2394,0,2,4,1,4,2,25,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
70,0,36,2,8133,1,2,1,1,2,1,30,1,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
71,0,7,4,730,0,4,4,0,2,1,46,2,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
72,1,8,4,1164,1,4,3,0,4,4,51,2,3,2,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
73,2,42,4,5954,1,3,2,1,1,0,41,2,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
74,1,36,2,1977,0,4,4,0,4,4,40,1,3,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
75,1,12,4,1526,1,4,4,0,4,4,66,2,3,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
76,1,42,2,3965,1,1,4,0,3,2,34,1,2,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
77,2,11,3,4771,1,3,2,0,4,1,51,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
78,0,54,0,9436,0,2,2,0,2,1,39,1,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
79,2,30,2,3832,1,1,2,0,1,1,22,1,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
80,0,24,2,5943,0,1,1,1,1,2,44,2,2,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
81,0,15,2,1213,3,4,4,0,3,1,47,1,2,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
82,0,18,2,1568,2,2,3,1,4,1,24,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
83,1,24,2,1755,1,4,4,1,4,0,58,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
84,1,10,2,2315,1,4,3,0,4,0,52,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
85,0,12,4,1412,1,2,4,1,2,0,29,2,3,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
86,2,18,4,1295,1,1,4,1,1,1,27,2,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
87,2,36,2,12612,2,2,1,0,4,4,47,1,2,2,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
88,1,18,2,2249,2,3,4,0,3,2,30,1,3,2,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
89,1,12,0,1108,1,3,4,0,3,0,28,2,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
90,0,12,4,618,1,4,4,0,4,0,56,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
91,1,12,4,1409,1,4,4,0,3,0,54,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
92,0,12,4,797,0,4,4,1,3,1,33,1,1,2,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
93,3,24,4,3617,0,4,4,0,4,4,20,2,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
94,2,12,2,1318,4,4,4,0,4,0,54,1,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
95,2,54,0,15945,1,1,3,0,4,4,58,1,2,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
96,0,12,4,2012,0,3,4,1,2,2,61,1,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
97,2,18,2,2622,2,2,4,0,4,2,34,1,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
98,2,36,4,2337,1,4,4,0,4,0,36,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
99,2,20,3,7057,0,3,3,0,4,1,36,2,3,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
100,0,24,2,1469,2,4,4,0,4,0,41,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
101,2,36,2,2323,1,3,4,0,4,2,24,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
102,0,6,3,932,1,2,3,1,2,0,24,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
103,2,9,4,1919,1,3,4,0,3,2,35,1,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
104,0,12,2,2445,0,1,2,0,4,2,26,1,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
105,2,24,4,11938,1,2,2,0,3,2,39,2,3,2,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
106,0,18,1,6458,1,4,2,0,4,4,39,2,3,2,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0
107,2,12,2,6078,1,3,2,0,2,2,32,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
108,1,24,2,7721,0,1,1,1,2,1,30,1,2,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0
109,2,14,2,1410,3,4,1,0,2,0,35,1,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
110,2,6,3,1449,2,4,1,0,2,2,31,2,2,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
111,3,15,2,392,1,1,4,1,4,1,23,1,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
112,2,18,2,6260,1,3,3,0,3,0,28,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
113,0,36,4,7855,1,2,4,1,2,0,25,2,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0
114,1,12,2,1680,3,4,3,0,1,0,35,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
115,0,48,4,3578,0,4,4,0,1,0,47,1,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
116,1,42,2,7174,0,3,4,1,3,2,30,1,3,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
117,1,10,4,2132,0,1,2,1,3,0,27,2,2,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
118,1,33,4,4281,3,2,1,1,4,2,23,2,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
119,2,12,4,2366,3,3,3,0,3,2,36,1,3,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
120,1,21,2,1835,1,2,3,1,2,0,25,2,2,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
121,0,24,4,3868,1,4,4,1,2,2,41,2,3,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
122,0,12,2,1768,1,2,3,0,2,0,24,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
123,3,10,4,781,1,4,4,0,4,4,63,2,2,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
124,2,18,2,1924,0,1,4,1,3,0,27,1,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
125,1,12,4,2121,1,2,4,0,2,1,30,2,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
126,1,12,2,701,1,2,4,0,2,0,40,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
127,2,12,2,639,1,2,4,0,2,2,30,1,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
128,2,12,4,1860,1,0,4,0,2,2,34,2,3,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
129,1,12,4,3499,1,2,3,1,2,0,29,2,2,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
130,2,48,2,8487,0,3,1,1,2,2,24,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
131,1,36,3,6887,1,2,4,0,3,1,29,1,2,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
132,0,15,2,2708,1,1,2,0,3,1,27,2,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
133,0,18,2,1984,1,2,4,0,4,4,47,2,2,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
134,0,60,2,10144,2,3,2,1,4,0,21,1,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
135,0,12,4,1240,0,4,4,1,2,0,38,2,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
136,0,27,3,8613,4,2,2,0,2,2,27,2,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
137,2,12,2,766,3,2,4,0,3,0,66,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
138,2,15,4,2728,0,3,4,0,2,0,35,3,2,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
139,3,12,2,1881,1,2,2,1,2,2,44,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
140,3,6,2,709,4,1,2,0,2,0,27,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
141,2,36,2,4795,1,1,4,1,1,4,30,1,3,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
142,1,27,2,3416,1,2,3,0,2,2,27,1,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
143,1,18,2,2462,1,2,2,0,2,2,22,1,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
144,0,21,4,2288,1,1,4,1,4,1,23,1,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
145,2,48,1,3566,2,3,4,0,2,2,30,1,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
146,1,6,4,860,1,4,1,1,4,4,39,2,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
147,0,12,4,682,2,3,4,1,3,2,51,2,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
148,1,36,4,5371,1,2,3,0,2,1,28,2,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
149,0,18,4,1582,4,4,4,0,4,2,46,2,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
150,0,6,2,1346,2,4,2,0,4,4,42,1,2,2,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
151,0,10,2,1924,1,2,1,0,4,1,38,1,2,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0
152,3,36,2,5848,1,2,4,0,1,2,24,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
153,2,24,4,7758,4,4,2,1,4,4,29,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
154,2,24,3,6967,2,3,4,0,4,2,36,1,3,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
155,1,12,2,1282,1,2,2,1,4,2,20,1,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
156,1,9,4,1288,2,4,3,0,4,0,48,2,2,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
157,1,12,1,339,1,4,4,0,1,2,45,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
158,2,24,2,3512,2,3,2,0,3,2,38,2,2,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
159,0,6,4,1898,0,2,1,0,2,0,34,2,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
160,0,24,4,2872,2,4,3,0,4,0,36,1,2,2,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
161,0,18,4,1055,1,1,4,1,1,1,30,2,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
162,0,15,2,1262,3,3,4,0,3,1,36,2,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
163,2,10,2,7308,1,0,2,0,4,4,70,1,3,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
164,0,36,2,909,3,4,4,0,4,1,36,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
165,0,6,2,2978,3,2,1,0,2,2,32,1,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
166,1,18,2,1131,1,0,4,1,2,2,33,1,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
167,2,11,2,1577,4,1,4,1,1,0,20,1,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
168,0,24,2,3972,1,3,2,1,4,1,25,1,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
169,2,24,4,1935,1,4,4,0,4,0,31,2,2,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
170,1,15,0,950,1,4,4,0,3,2,33,2,2,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
171,0,12,2,763,1,2,4,1,1,0,26,1,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
172,2,24,3,2064,1,0,3,1,2,1,34,1,3,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
173,2,8,2,1414,1,2,4,0,2,0,33,1,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
174,1,21,3,3414,1,1,2,0,1,1,26,2,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
175,0,30,1,7485,0,0,4,1,1,0,53,1,3,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0
176,1,12,2,2577,1,2,2,0,1,2,42,1,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
177,1,6,4,338,3,4,4,0,4,2,52,2,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
178,0,12,2,1963,1,3,4,0,2,2,31,2,3,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
179,1,21,4,571,1,4,4,0,4,0,65,2,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
180,0,36,3,9572,1,1,1,0,1,2,28,2,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
181,2,36,3,4455,1,2,2,0,2,0,30,2,3,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
182,1,21,1,1647,0,2,4,0,2,1,40,2,1,2,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
183,0,24,4,3777,4,2,4,0,4,0,50,1,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
184,2,18,4,884,1,4,4,0,4,2,36,1,2,2,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0
185,0,15,4,1360,1,2,4,0,2,1,31,2,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
186,2,9,1,5129,1,4,2,1,4,4,74,1,3,2,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0
187,2,16,4,1175,1,0,2,0,3,2,68,3,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
188,1,12,2,674,2,3,4,0,1,1,20,1,2,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
189,2,18,0,3244,1,2,1,1,4,2,33,2,2,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
190,0,24,2,4591,4,2,2,0,3,1,54,3,3,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
191,2,48,0,3844,2,3,4,0,4,4,34,1,1,2,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
192,2,27,2,3915,1,2,4,0,2,2,36,1,2,2,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
193,0,6,2,2108,1,3,2,0,2,0,29,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
194,2,45,2,3031,2,2,4,0,4,1,21,1,2,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
195,2,9,4,1501,1,4,2,1,3,2,34,2,3,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
196,0,6,4,1382,1,2,1,1,1,2,28,2,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
197,2,12,2,951,2,1,4,1,4,2,27,4,2,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
198,2,24,2,2760,0,4,4,0,4,4,36,1,2,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
199,2,18,3,4297,1,4,4,0,3,4,40,1,3,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
200,0,9,4,936,3,4,4,0,2,2,52,2,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
201,1,12,2,1168,1,2,4,0,3,0,27,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
202,0,27,3,5117,1,3,3,0,4,2,26,2,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
203,1,12,2,902,1,3,4,0,4,1,21,1,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
204,0,12,4,1495,1,4,4,0,1,0,38,2,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
205,1,30,4,10623,1,4,3,0,4,4,38,3,3,2,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
206,0,12,4,1935,1,4,4,0,4,0,43,3,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
207,2,12,4,1424,1,3,4,0,3,1,26,1,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
208,1,24,2,6568,1,2,2,0,2,2,21,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
209,0,12,2,1413,4,3,3,0,2,1,55,1,2,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
210,0,9,4,3074,0,2,1,0,2,0,33,2,2,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
211,0,36,2,3835,0,4,2,1,4,0,45,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
212,1,27,0,5293,1,0,2,0,4,1,50,2,2,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
213,3,30,3,1908,1,4,4,0,4,0,66,1,3,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
214,0,36,4,3342,0,4,4,0,2,2,51,1,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
215,2,6,4,932,0,3,1,1,3,1,39,2,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
216,1,18,0,3104,1,3,3,0,1,1,31,1,2,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
217,3,36,2,3913,1,2,2,0,2,0,23,1,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
218,1,24,2,3021,1,2,2,0,2,0,24,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
219,0,10,2,1364,1,2,2,1,4,2,64,1,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
220,2,12,2,625,1,1,4,0,1,0,26,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
221,1,12,2,1200,0,2,4,1,4,1,23,1,2,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
222,0,12,2,707,1,2,4,0,2,0,30,2,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
223,0,24,3,2978,0,2,4,0,4,0,32,2,2,2,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
