,age,education_num,marital_status,race,sex,capital_gain,capital_loss,hours_per_work,label,occupation_blueCollar,occupation_other,occupation_professional,occupation_sales,occupation_whiteCollar
223,54,9,1,0,1,0,0,20,<=50K,0,1,0,0,0
224,53,1,0,1,0,0,0,35,<=50K,1,0,0,0,0
225,18,9,0,1,0,0,0,40,<=50K,0,0,0,1,0
227,66,9,1,1,1,1409,0,50,<=50K,1,0,0,0,0
228,75,11,1,1,0,0,0,20,<=50K,0,1,0,0,0
229,65,9,1,1,0,0,0,40,<=50K,0,1,0,0,0
230,35,7,1,0,1,3674,0,40,<=50K,1,0,0,0,0
231,41,9,1,0,0,0,0,38,<=50K,0,0,0,1,0
232,25,10,0,1,1,0,0,42,<=50K,0,1,0,0,0
233,33,10,1,0,0,0,0,40,<=50K,1,0,0,0,0
234,28,15,0,1,1,0,0,55,>50K,0,0,1,0,0
235,59,9,1,1,1,0,0,40,<=50K,0,1,0,0,0
236,40,10,0,1,0,0,0,38,<=50K,0,1,0,0,0
237,41,13,1,1,1,0,0,50,>50K,0,0,0,0,1
238,38,14,1,1,1,0,0,70,>50K,0,0,0,0,1
239,23,9,0,1,1,0,0,40,<=50K,1,0,0,0,0
240,40,13,1,1,1,0,0,40,>50K,0,0,1,0,0
241,41,9,1,1,0,0,0,20,<=50K,0,1,0,0,0
242,24,12,1,1,1,0,0,50,<=50K,0,1,0,0,0
244,38,10,1,1,1,0,1741,40,<=50K,1,0,0,0,0
246,58,9,1,1,1,0,0,45,>50K,0,1,0,0,0
247,32,9,0,1,0,0,0,34,<=50K,0,1,0,0,0
248,40,12,1,1,1,0,1977,60,>50K,0,1,0,0,0
250,41,15,1,1,0,0,0,40,>50K,0,0,1,0,0
251,42,13,1,0,0,0,0,40,<=50K,0,1,0,0,0
252,59,6,1,0,0,0,0,30,<=50K,0,1,0,0,0
253,19,10,0,1,1,0,0,40,<=50K,0,1,0,0,0
254,58,10,0,1,1,0,0,20,<=50K,1,0,0,0,0
255,42,9,1,0,1,0,0,40,>50K,1,0,0,0,0
256,20,9,0,1,0,0,0,40,<=50K,0,1,0,0,0
257,32,9,1,1,0,0,0,30,<=50K,0,1,0,0,0
258,45,11,1,1,0,0,0,45,<=50K,0,0,0,0,1
259,50,4,1,1,1,0,0,40,<=50K,1,0,0,0,0
260,36,13,1,1,0,0,0,40,<=50K,0,0,1,0,0
261,45,9,1,1,1,0,0,60,<=50K,0,0,0,1,0
262,17,7,0,1,1,0,0,12,<=50K,0,1,0,0,0
263,59,10,1,1,1,4064,0,40,<=50K,0,0,0,1,0
264,26,7,1,1,1,0,0,40,<=50K,1,0,0,0,0
265,37,10,1,0,1,0,0,75,>50K,0,0,0,0,1
267,64,9,1,1,1,0,0,40,>50K,0,0,0,0,1
268,33,13,0,1,0,0,0,45,<=50K,0,0,1,0,0
269,33,9,1,1,0,0,0,40,>50K,1,0,0,0,0
270,61,9,1,1,1,0,0,40,>50K,0,0,0,0,1
271,17,5,0,1,1,1055,0,24,<=50K,0,1,0,0,0
272,50,14,1,1,1,2407,0,98,<=50K,1,0,0,0,0
273,27,14,0,1,1,0,0,35,<=50K,0,0,1,0,0
274,30,9,1,1,0,0,0,40,<=50K,0,0,1,0,0
275,43,9,1,0,1,0,0,40,<=50K,1,0,0,0,0
276,44,10,1,1,1,7298,0,40,>50K,1,0,0,0,0
277,35,10,0,1,0,0,0,40,<=50K,0,0,0,0,1
278,25,10,0,1,0,0,0,40,<=50K,0,1,0,0,0
279,24,10,1,1,0,7298,0,48,>50K,1,0,0,0,0
280,22,13,0,1,0,0,0,15,<=50K,0,0,1,0,0
281,42,10,1,1,1,5178,0,40,>50K,1,0,0,0,0
282,34,12,1,0,0,0,0,45,<=50K,0,0,0,1,0
283,60,13,1,1,0,0,0,42,<=50K,0,0,1,0,0
284,21,9,0,1,1,0,0,40,<=50K,1,0,0,0,0
285,57,14,1,1,1,15024,0,40,>50K,0,0,0,1,0
286,41,15,1,1,1,0,0,60,>50K,0,0,1,0,0
287,50,10,1,1,1,0,0,45,<=50K,0,1,0,0,0
288,25,13,0,1,0,0,0,40,<=50K,0,0,0,0,1
289,50,4,1,1,1,0,0,40,<=50K,1,0,0,0,0
290,36,13,1,1,1,0,0,45,<=50K,0,0,1,0,0
291,31,9,1,1,0,0,0,40,<=50K,0,0,1,0,0
292,29,13,0,1,1,0,0,56,<=50K,0,1,0,0,0
293,21,10,0,1,1,0,0,45,<=50K,0,0,0,1,0
294,27,13,0,0,0,0,0,40,<=50K,0,1,0,0,0
295,65,9,1,1,1,0,0,16,<=50K,1,0,0,0,0
296,37,13,1,1,0,0,0,60,<=50K,0,0,0,1,0
298,24,9,0,1,1,0,0,40,<=50K,1,0,0,0,0
299,38,9,1,1,1,0,0,80,<=50K,0,0,0,1,0
300,48,13,1,1,1,7688,0,40,>50K,0,1,0,0,0
301,21,10,0,0,0,0,0,25,<=50K,0,1,0,0,0
302,31,9,1,1,1,0,0,45,>50K,1,0,0,0,0
303,55,9,1,1,1,4386,0,40,>50K,0,0,0,1,0
304,24,10,1,0,0,0,0,40,<=50K,0,1,0,0,0
305,43,9,1,1,0,0,0,40,<=50K,0,1,0,0,0
306,26,12,0,1,1,0,0,45,<=50K,0,1,0,0,0
307,46,12,0,1,0,0,0,33,<=50K,0,0,1,0,0
308,35,12,1,1,1,0,0,40,>50K,0,1,0,0,0
309,41,10,1,1,1,0,0,54,>50K,1,0,0,0,0
310,26,13,0,1,1,0,0,40,<=50K,0,0,0,1,0
311,34,14,1,0,1,7298,0,35,>50K,0,0,0,0,1
313,36,13,1,0,0,0,0,40,>50K,0,0,1,0,0
314,22,10,0,1,1,0,0,15,<=50K,0,0,0,1,0
315,24,10,0,1,1,0,0,40,<=50K,1,0,0,0,0
316,77,10,1,1,1,0,0,40,<=50K,0,0,0,1,0
317,22,3,1,1,0,0,0,40,<=50K,1,0,0,0,0
318,29,10,0,1,0,0,0,40,<=50K,0,1,0,0,0
319,62,9,1,1,0,0,0,24,<=50K,0,1,0,0,0
320,39,9,1,1,1,0,0,40,<=50K,0,0,0,0,1
321,43,10,1,1,1,0,1485,50,<=50K,1,0,0,0,0
322,35,9,1,1,1,0,0,45,<=50K,1,0,0,0,0
323,29,7,0,1,0,0,0,40,<=50K,0,0,0,0,1
324,76,14,1,1,1,0,0,10,<=50K,1,0,0,0,0
325,63,9,1,1,1,0,0,45,<=50K,1,0,0,0,0
327,43,10,1,1,0,0,1887,50,>50K,0,0,1,0,0
328,58,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
329,66,9,0,1,1,2050,0,55,<=50K,1,0,0,0,0
330,41,10,0,0,1,0,0,45,<=50K,1,0,0,0,0
331,26,13,0,1,1,0,0,40,<=50K,0,1,0,0,0
332,47,11,0,1,1,0,0,40,<=50K,0,1,0,0,0
333,55,6,1,1,1,0,0,40,<=50K,0,1,0,0,0
334,53,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
335,17,3,0,1,1,0,0,48,<=50K,0,1,0,0,0
336,30,9,0,1,1,0,0,40,<=50K,1,0,0,0,0
337,49,14,0,1,1,0,0,60,<=50K,0,0,1,0,0
338,19,9,0,0,1,0,0,30,<=50K,0,0,0,1,0
339,45,9,1,0,1,0,0,40,<=50K,0,1,0,0,0
340,26,12,0,1,1,0,0,40,<=50K,0,0,0,1,0
341,38,11,1,1,1,7298,0,40,>50K,1,0,0,0,0
342,36,9,1,1,1,7298,0,40,>50K,0,1,0,0,0
343,33,9,0,1,1,0,0,20,<=50K,1,0,0,0,0
344,22,10,0,0,0,0,0,40,<=50K,0,1,0,0,0
345,43,13,0,1,1,0,0,42,<=50K,0,0,0,1,0
348,56,12,1,1,1,0,0,25,<=50K,0,1,0,0,0
349,31,13,0,1,1,0,0,25,<=50K,0,0,1,0,0
350,33,13,1,1,1,0,0,40,>50K,0,0,0,0,1
351,26,9,1,1,1,0,0,40,<=50K,0,1,0,0,0
352,33,13,1,1,1,0,0,40,>50K,0,0,0,0,1
353,46,7,1,1,1,0,0,30,<=50K,1,0,0,0,0
355,38,9,1,1,1,0,0,40,>50K,0,1,0,0,0
356,65,7,1,0,1,0,0,40,<=50K,0,1,0,0,0
357,40,11,1,1,1,0,0,40,>50K,0,1,0,0,0
358,42,9,1,1,0,0,0,35,<=50K,0,1,0,0,0
359,26,5,1,1,1,0,0,40,<=50K,1,0,0,0,0
360,36,6,1,1,0,0,0,24,<=50K,0,1,0,0,0
361,62,14,1,1,1,0,0,40,>50K,0,0,1,0,0
362,43,13,1,1,1,0,0,45,<=50K,1,0,0,0,0
363,43,13,1,1,1,0,1564,45,>50K,0,0,0,0,1
364,22,9,1,1,1,0,0,55,<=50K,0,0,0,1,0
365,28,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
366,56,10,1,1,1,0,0,45,<=50K,0,0,0,1,0
367,22,12,0,1,0,0,0,15,<=50K,0,0,0,1,0
368,57,13,1,1,0,0,0,45,>50K,0,0,0,0,1
369,39,9,1,1,0,0,0,40,<=50K,0,0,0,1,0
370,26,10,0,1,0,0,0,15,<=50K,0,1,0,0,0
371,17,7,0,1,1,0,0,10,<=50K,0,1,0,0,0
372,40,11,1,1,1,0,0,38,>50K,1,0,0,0,0
373,45,9,1,0,1,0,0,40,<=50K,1,0,0,0,0
374,44,9,0,0,1,0,0,40,<=50K,1,0,0,0,0
375,20,10,0,1,0,0,0,10,<=50K,0,1,0,0,0
376,33,9,1,1,0,0,0,40,<=50K,1,0,0,0,0
377,23,10,0,1,1,0,0,40,<=50K,0,0,0,1,0
378,46,14,1,1,1,0,0,30,<=50K,0,0,0,0,1
379,38,9,1,1,1,0,0,50,<=50K,0,0,0,1,0
380,54,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
381,46,3,1,1,0,0,2339,45,<=50K,1,0,0,0,0
382,25,10,1,1,1,0,0,40,<=50K,1,0,0,0,0
383,46,10,1,1,0,0,0,40,<=50K,0,0,0,1,0
384,36,10,1,1,0,0,0,40,<=50K,1,0,0,0,0
385,23,9,0,1,0,0,0,25,<=50K,0,1,0,0,0
386,29,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
387,44,10,1,1,0,0,2415,6,>50K,0,1,0,0,0
388,19,10,0,1,0,0,0,16,<=50K,0,1,0,0,0
389,19,9,0,1,0,0,0,40,<=50K,0,1,0,0,0
390,35,9,1,1,0,0,0,40,>50K,0,1,0,0,0
391,27,13,0,1,1,0,0,50,<=50K,1,0,0,0,0
392,46,12,1,1,1,0,0,40,<=50K,1,0,0,0,0
394,34,9,0,1,0,0,0,35,<=50K,0,1,0,0,0
395,44,10,1,1,1,0,0,40,<=50K,0,1,0,0,0
396,45,10,1,1,0,0,0,40,<=50K,1,0,0,0,0
398,25,13,1,1,1,0,0,55,>50K,0,0,0,0,1
399,52,13,1,1,1,0,0,50,>50K,0,0,0,0,1
400,20,10,0,1,1,0,0,40,<=50K,1,0,0,0,0
401,28,10,0,1,0,0,0,40,<=50K,0,1,0,0,0
402,50,13,1,1,1,0,0,40,>50K,0,1,0,0,0
403,34,11,1,1,0,0,0,64,<=50K,0,1,0,0,0
404,28,4,1,0,1,0,2179,40,<=50K,1,0,0,0,0
405,41,14,1,1,1,0,1977,65,>50K,0,0,0,0,1
406,28,9,1,1,1,0,0,40,<=50K,0,1,0,0,0
407,46,9,1,1,1,0,0,25,<=50K,1,0,0,0,0
409,32,10,1,1,1,0,0,50,<=50K,0,0,0,0,1
410,41,10,1,0,0,0,0,24,<=50K,0,1,0,0,0
411,24,9,0,0,0,0,0,40,<=50K,1,0,0,0,0
412,33,10,1,1,0,0,0,40,<=50K,0,0,0,0,1
413,46,16,1,1,1,15024,0,60,>50K,0,0,0,0,1
414,31,10,1,1,1,0,0,40,<=50K,1,0,0,0,0
415,35,8,1,1,1,0,0,50,>50K,1,0,0,0,0
416,52,2,1,1,1,0,0,40,<=50K,1,0,0,0,0
417,30,7,0,1,0,0,0,19,<=50K,0,1,0,0,0
418,34,7,1,0,1,0,0,40,<=50K,1,0,0,0,0
419,34,9,1,1,0,0,0,40,<=50K,1,0,0,0,0
420,20,10,1,1,1,0,0,30,<=50K,0,0,0,1,0
421,17,7,0,1,1,2176,0,18,<=50K,1,0,0,0,0
422,32,13,1,1,0,0,0,40,>50K,0,0,0,0,1
423,29,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
424,33,6,0,1,0,0,0,35,<=50K,1,0,0,0,0
425,25,9,1,1,1,0,0,60,<=50K,1,0,0,0,0
426,36,14,0,1,1,0,1408,40,<=50K,0,0,1,0,0
427,23,9,0,1,1,0,0,72,<=50K,1,0,0,0,0
428,63,9,1,1,1,0,0,40,>50K,0,0,0,0,1
429,47,14,1,1,1,0,0,40,<=50K,0,0,1,0,0
432,40,13,1,1,0,2174,0,40,<=50K,0,0,1,0,0
433,30,12,1,1,0,0,0,25,>50K,0,1,0,0,0
434,27,10,0,0,1,0,1980,40,<=50K,1,0,0,0,0
435,33,14,1,1,1,0,0,50,>50K,0,0,1,0,0
436,34,9,0,0,1,594,0,60,<=50K,1,0,0,0,0
437,34,10,0,1,0,0,0,40,<=50K,0,1,0,0,0
438,23,10,1,1,1,0,0,40,<=50K,0,1,0,0,0
439,42,10,1,1,0,0,0,40,<=50K,0,1,0,0,0
440,29,13,0,1,1,0,0,40,<=50K,0,0,1,0,0
441,45,9,1,1,0,0,0,28,<=50K,0,1,0,0,0
442,24,9,0,1,1,0,0,40,<=50K,0,1,0,0,0
443,44,10,1,1,1,0,0,40,>50K,0,0,1,0,0
444,27,5,0,1,1,0,0,40,<=50K,1,0,0,0,0
445,20,10,0,1,1,0,0,35,<=50K,0,0,0,1,0
446,44,9,1,0,0,0,0,40,<=50K,0,0,0,0,1
447,51,9,1,0,1,0,0,40,<=50K,1,0,0,0,0
448,20,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
450,19,9,0,0,0,0,0,40,<=50K,1,0,0,0,0
451,45,10,1,1,1,0,0,55,>50K,1,0,0,0,0
452,60,9,1,1,1,0,0,40,>50K,1,0,0,0,0
